,AnoMes,Municipio,Estado,Regiao,QT_PagadorPF,QT_PagadorPJ,QT_RecebedorPF,QT_RecebedorPJ
902,202310,SÃO FRANCISCO DE PAULA,RIO GRANDE DO SUL,SUL,207963,21415,119778,48131
903,202310,OLINDINA,BAHIA,NORDESTE,251159,6262,180695,22249
904,202310,RIO SONO,TOCANTINS,NORTE,63183,2606,35355,6199
905,202310,SANTA MARIA DA VITÓRIA,BAHIA,NORDESTE,393058,19215,280874,58796
906,202310,NOVA ROMA DO SUL,RIO GRANDE DO SUL,SUL,21072,1791,15925,6661
907,202310,PRESIDENTE VARGAS,MARANHÃO,NORDESTE,109784,1709,68942,4800
908,202310,ITIÚBA,BAHIA,NORDESTE,346738,7333,220626,22822
909,202310,ITAGUAJÉ,PARANÁ,SUL,48054,2771,28479,7146
910,202310,TERRA ALTA,PARÁ,NORTE,151102,1886,106516,6574
911,202310,IRAMAIA,BAHIA,NORDESTE,110574,1619,75489,8130
912,202310,CORONEL JOSÉ DIAS,PIAUÍ,NORDESTE,37996,504,23849,2137
913,202310,TERRA NOVA,BAHIA,NORDESTE,212017,5130,149318,9669
914,202310,SANTA QUITÉRIA DO MARANHÃO,MARANHÃO,NORDESTE,271478,5136,187762,16538
915,202310,BUJARU,PARÁ,NORTE,275760,6457,180627,15988
916,202310,BONITO,PARÁ,NORTE,131616,3469,85953,12962
917,202310,IBICARAÍ,BAHIA,NORDESTE,296141,10650,215791,28500
918,202310,OEIRAS DO PARÁ,PARÁ,NORTE,265331,5330,191046,12436
919,202310,LAPA,PARANÁ,SUL,454319,46805,266551,91364
920,202310,NAZARÉ,BAHIA,NORDESTE,476700,15337,347689,40117
921,202310,SÃO JOÃO DOS PATOS,MARANHÃO,NORDESTE,424880,20477,280768,61704
922,202310,BETÂNIA,PERNAMBUCO,NORDESTE,106994,1652,70078,5256
923,202310,SANTANA DO ARAGUAIA,PARÁ,NORTE,481496,33866,312867,115062
924,202310,COROATÁ,MARANHÃO,NORDESTE,793798,24524,537694,80532
925,202310,EREBANGO,RIO GRANDE DO SUL,SUL,19822,1367,10787,2886
926,202310,SÃO FRANCISCO DO MARANHÃO,MARANHÃO,NORDESTE,117332,1652,70490,5959
927,202310,ALCINÓPOLIS,MATO GROSSO DO SUL,CENTRO-OESTE,47928,4395,28170,13154
928,202310,IPUPIARA,BAHIA,NORDESTE,108301,4948,124729,15578
929,202310,GARRUCHOS,RIO GRANDE DO SUL,SUL,13736,649,7459,2157
930,202310,SANTARÉM NOVO,PARÁ,NORTE,88633,1233,65337,3730
931,202310,PIMENTA BUENO,RONDÔNIA,NORTE,494297,48480,307193,132445
932,202310,IGARAPÉ-AÇU,PARÁ,NORTE,430473,13077,324157,55481
933,202310,COXIM,MATO GROSSO DO SUL,CENTRO-OESTE,500431,35496,300007,94158
934,202310,ROSÁRIO DO CATETE,SERGIPE,NORDESTE,147334,4518,96787,10423
935,202310,MACURURÉ,BAHIA,NORDESTE,73265,1139,52080,3525
936,202310,ARARI,MARANHÃO,NORDESTE,407598,7308,258301,28067
937,202310,CHARRUA,RIO GRANDE DO SUL,SUL,9323,444,4753,1331
938,202310,SÃO PEDRO DOS CRENTES,MARANHÃO,NORDESTE,62400,2422,40049,12624
939,202310,MANSIDÃO,BAHIA,NORDESTE,99981,2615,63250,7300
940,202310,TUFILÂNDIA,MARANHÃO,NORDESTE,85326,905,55239,3491
941,202310,NOVO HORIZONTE DO SUL,MATO GROSSO DO SUL,CENTRO-OESTE,60480,3231,37513,9036
942,202310,TENENTE PORTELA,RIO GRANDE DO SUL,SUL,101065,11613,56451,40579
943,202310,PIRIPÁ,BAHIA,NORDESTE,81947,3008,52973,5845
944,202310,GURUPI,TOCANTINS,NORTE,1562576,127533,1018946,309860
945,202310,BRAGANÇA,PARÁ,NORTE,1535430,55967,1138637,166119
946,202310,JAGUAQUARA,BAHIA,NORDESTE,619692,35962,476978,90644
947,202310,SONORA,MATO GROSSO DO SUL,CENTRO-OESTE,204074,17160,121764,41732
948,202310,ARACAJU,SERGIPE,NORDESTE,13062855,970471,9567181,2615020
949,202310,TUNAS,RIO GRANDE DO SUL,SUL,14092,525,8815,1331
950,202310,MATO CASTELHANO,RIO GRANDE DO SUL,SUL,15109,1279,7851,2089
951,202310,ASSIS BRASIL,ACRE,NORTE,68379,2158,42202,5246
952,202310,ITAPITANGA,BAHIA,NORDESTE,80798,1428,53663,5351
953,202310,FREI PAULO,SERGIPE,NORDESTE,138740,5878,95435,12641
954,202310,GUIMARÃES,MARANHÃO,NORDESTE,161671,1487,108043,5289
955,202310,SANTO ANTÔNIO DO PLANALTO,RIO GRANDE DO SUL,SUL,14474,1820,7020,2947
956,202310,SUCUPIRA DO RIACHÃO,MARANHÃO,NORDESTE,54389,650,32777,3531
957,202310,SÃO ROBERTO,MARANHÃO,NORDESTE,47803,441,32905,1740
958,202310,SANTA BÁRBARA DO PARÁ,PARÁ,NORTE,339482,8202,240443,16693
959,202310,BODOQUENA,MATO GROSSO DO SUL,CENTRO-OESTE,119548,8754,64750,27268
960,202310,MARAIAL,PERNAMBUCO,NORDESTE,110611,1174,83819,2883
961,202310,RUY BARBOSA,BAHIA,NORDESTE,331690,11140,228240,29605
962,202310,PIRAPÓ,RIO GRANDE DO SUL,SUL,15639,845,7905,2497
